ID,Category,Summary Title,Full Victory Condition Statement
1,Military & Conquest,Control All Capitals,All enemy capital cities are controlled by the player's forces.
2,Military & Conquest,Total Army Elimination,The last opposing army unit has been eliminated from the map.
3,Military & Conquest,Leader Capture & Execution,The designated enemy leader has been captured and executed.
4,Military & Conquest,Annihilation of Elite Guard,A decisive battle resulted in the complete annihilation of the rival faction's elite guard.
5,Military & Conquest,Fulfill War Declaration,The player's military has occupied all territories specified in the initial war declaration.
6,Military & Conquest,Unconditional Surrender,The opposing faction has formally signed an unconditional surrender document.
7,Military & Conquest,Iron Keep Destruction,"The final defensive fortress, known as the Iron Keep, has been breached and destroyed."
8,Military & Conquest,Superweapon Detonation,The player has successfully launched and detonated the world-ending superweapon.
9,Military & Conquest,Naval Supremacy Achieved,All enemy naval fleets have been sunk or forced into friendly harbors.
10,Military & Conquest,Grand General Assassinated,The player's espionage network has successfully assassinated the enemy's Grand General.
11,Military & Conquest,Monument Control,The player's banner flies over the central monument of every rival civilization.
12,Military & Conquest,Artifacts Secured First,The player's forces secured the three ancient artifacts of power before the enemy could.
13,Military & Conquest,Objective Zone Held,"The designated objective zone, Area 5, has been held uncontested for three consecutive turns."
14,Military & Conquest,Titan Deployment,"The game world's most powerful tactical unit, the Titan, has been successfully deployed."
15,Military & Conquest,90% Power Rating,A cease-fire treaty was enacted after the player achieved a 90% power rating over all rivals.
16,Military & Conquest,Core Objective Defended,The player has successfully defended the core objective for the designated time limit.
17,Military & Conquest,Enemy Production Zero,The enemy's ability to produce new military units has been reduced to zero.
18,Military & Conquest,Global Sea Lane Control,The player's empire controls all land bridges and major sea lanes in the world.
19,Military & Conquest,Perpetual Army Funding,The player has accumulated enough resources to perpetually fund their armed forces.
20,Military & Conquest,Commander Duel Win,The final duel between the two supreme commanders resulted in the player's victory.
21,Technological & Scientific,Ultimate Tech Achieved,The player's civilization has completed the ultimate technological advancement.
22,Technological & Scientific,Warp Point Reached,The first crewed starship has reached the designated warp-point beyond the galaxy.
23,Technological & Scientific,All Diseases Cured,All four known diseases have been cured and the global health index is at its maximum.
24,Technological & Scientific,Immortality Wonder Built,The World Wonder that unlocks the secrets of immortality has been fully constructed.
25,Technological & Scientific,AI Singularity Achieved,The player's AI has achieved singularity and uploaded the collective consciousness.
26,Technological & Scientific,Permanent Mars Colony,"The player is the first to establish a permanent, self-sufficient colony on Mars."
27,Technological & Scientific,Past Event Altered,A working Time Machine has been invented and used to alter a single past event.
28,Technological & Scientific,Fusion Reactor Power,The global energy matrix is powered entirely by the player's proprietary fusion reactors.
29,Technological & Scientific,Alien Language Translated,The player has successfully translated the complete language of the alien monolith.
30,Technological & Scientific,VR Simulation Deactivated,The final layer of the global virtual reality simulation has been deactivated.
31,Technological & Scientific,Universal Map Charted,The universal map has been completely charted and all stellar anomalies explained.
32,Technological & Scientific,Scientific Output Supremacy,The player's scientific output score exceeded the combined score of all other factions.
33,Technological & Scientific,Flawless Successor Species,Genetic engineering has resulted in a human successor species with no flaws.
34,Technological & Scientific,FTL Secret Deleted,The secret of faster-than-light travel has been irretrievably deleted from all enemy databases.
35,Political & Governance,Supreme Ruler Declared,A unanimous vote in the Galactic Senate declared the player as the Supreme Ruler.
36,Political & Governance,Supermajority Election,The player's political party won a supermajority in every national election.
37,Political & Governance,Royal Marriage Unification,"The rival kingdom's prince married the player's heir, uniting the two nations peacefully."
38,Political & Governance,Ideology Adopted Globally,The player's ideology is adopted as the foundational belief system for every culture.
39,Political & Governance,Absolute Liberty Achieved,All citizens within the player's territory enjoy absolute liberty and economic prosperity.
40,Political & Governance,Poverty and Crime Abolished,The player has successfully abolished all forms of poverty and crime within the nation.
41,Political & Governance,Corruption Eliminated,The player has managed to completely eliminate political corruption from the capital.
42,Political & Governance,Lasting Peace Treaty,The player successfully brokered a lasting peace treaty between all warring states.
43,Political & Governance,Governance Vision Enshrined,The Constitution has been reformed to enshrine the player's vision of governance forever.
44,Political & Governance,Persona Deified,The player's persona has been deified and is worshipped by 99% of the world's population.
45,Political & Governance,Social Class Dismantled,The player has dismantled the oppressive social class system permanently.
46,Political & Governance,100% Landslide Win,The player was elected to the ultimate office by a landslide victory of 100% of the vote.
47,Political & Governance,Last Rival Joins Council,The last remaining political opponent willingly joined the player's governing council.
48,Economic & Trade,100% Market Share,The player controls 100% of the market share for the three critical global resources.
49,Economic & Trade,Net Worth Exceeds Rivals,The player has accumulated a net worth exceeding the gross domestic product of all rivals.
50,Economic & Trade,All Rivals Bankrupt,All competing corporations have been bought out or driven into complete bankruptcy.
51,Economic & Trade,Global Currency Monopoly,The player's global currency is the only accepted form of tender worldwide.
52,Economic & Trade,Kryllium Cornered,The player successfully cornered the market on the rare metal Kryllium.
53,Economic & Trade,World Bank Controlled,The World Bank is solely controlled by the player's appointed directors.
54,Economic & Trade,Sustainable Energy Patent,The player has secured the patent on the only sustainable energy source.
55,Economic & Trade,Million Dollar Surplus,"The player's trade routes generate an absolute surplus of $1,000,000 per second."
56,Economic & Trade,Food Supply Chain Monopolized,The player has monopolized the supply chain for all essential food production.
57,Economic & Trade,500 Year Dynasty,The player's financial dynasty has survived for 500 uninterrupted years.
58,Character & Narrative,Internal Flaw Overcome,The protagonist overcame their single greatest internal flaw.
59,Character & Narrative,Bloodline Curse Broken,The ancient curse placed upon the protagonist's bloodline has been broken forever.
60,Character & Narrative,Conspiracy Exposed,The truth behind the shadowy conspiracy was exposed to the entire world.
61,Character & Narrative,Stolen Artifact Returned,"The protagonist successfully returned the stolen artifact to its rightful, secure resting place."
62,Character & Narrative,Master Plan Foiled,The villain's master plan was foiled just one second before its final activation.
63,Character & Narrative,Hero's Journey Completed,"The player completed the hero's journey and returned to their home village, forever changed."
64,Character & Narrative,Nietzsche's Übermensch,The player achieved Nietzsche's Übermensch by affirming life in its totality.
65,Character & Narrative,Complete Nirvana Achieved,The player has achieved complete Nirvana and escaped the cycle of suffering.
66,Character & Narrative,Loved One Saved,The chosen loved one was saved from the brink of certain death.
67,Character & Narrative,Lost Memory Recovered,The lost memory that holds the key to the entire conflict has been fully recovered.
68,Character & Narrative,Prophecy Nullified,The ancient prophecy foretelling doom was definitively nullified by a single action.
69,Character & Narrative,Meaning of Life Shared,The player found the meaning of life and successfully shared it with humanity.
70,Character & Narrative,Eternal Recurrence Accepted,The player accepted the inevitability of the Eternal Recurrence with joy.
71,Character & Narrative,Perfect Unifying Song,The one perfect song that unifies all disparate beings has been composed and performed.
72,Character & Narrative,Woke Up From Simulation,The player discovered that their entire reality was a simulation and successfully woke up.
73,Abstract & Game Specific,1000 Victory Points,The player was the first to successfully amass a score of 1000 Victory Points.
74,Abstract & Game Specific,Last One Standing,The player is the last one remaining after all other players were eliminated.
75,Abstract & Game Specific,First To Finish Line,The player successfully reached the designated finish line before any competitor.
76,Abstract & Game Specific,Ritual Objectives Complete,The player completed all 10 mandated ritual objectives in the correct sequence.
77,Abstract & Game Specific,Hidden Base Network,The player's network of hidden bases spans every biome on the planet.
78,Abstract & Game Specific,Zero Hand Size,The player has shed all of their cards and ended the final round with zero hand size.
79,Abstract & Game Specific,Hidden Traitor Identified,The player successfully identified the single hidden traitor among the council members.
80,Abstract & Game Specific,Highest Infrastructure,The player owns the highest number of completed infrastructure projects.
81,Abstract & Game Specific,Lowest Final Score,The game ends with the player possessing the lowest possible final score.
82,Abstract & Game Specific,Great Puzzle Solved,The player successfully completed the Great Puzzle that precedes the final portal.
83,Abstract & Game Specific,75% Map Control,The player's control tokens are placed on 75% of the total available map locations.
84,Abstract & Game Specific,Contradictory Quests Met,The player has managed to fulfill every contradictory quest given by the Elders.
85,Abstract & Game Specific,Four Heroes Recruited,The player has successfully recruited and commanded the four legendary heroes.
86,Abstract & Game Specific,Time-Loop Broken,The player is the only one who has managed to break the time-loop permanently.
87,Technological & Scientific,Antidote Cultivated,The player has cultivated the only known antidote to the spreading plague.
88,Character & Narrative,Dragon Peacefully Convinced,The player successfully convinced the ancient dragon to peacefully guard the treasure.
89,Technological & Scientific,Shattered Moon Restored,The player has restored the shattered moon and stabilized the planet's orbit.
90,Construction & Management,Grand Monument Built,The player constructed a monument so grand that it is visible from deep space.
91,Environmental & Survival,Hostile Planet Terraformed,The player has fully terraformed the hostile alien planet into a habitable paradise.
92,Political & Governance,Opposing Leader Joins,The player successfully convinced the opposing leader to join their cause willingly.
93,Character & Narrative,World Suffering Erased,The collective memory of the world's suffering was successfully erased.
94,Abstract & Game Specific,Five Time Cultural Win,The player won the annual Grand Cultural Festival for five consecutive years.
95,Technological & Scientific,Lost Library Recovered,The lost library containing all pre-Collapse knowledge has been completely recovered.
96,Character & Narrative,Seven Martial Arts Mastered,The player has mastered all seven forbidden martial arts styles.
97,Character & Narrative,Perfect Work of Art,The player created a work of art that is universally acknowledged as perfect.
98,Political & Governance,Prisoner Release Negotiated,The player successfully negotiated the release of all political prisoners worldwide.
99,Political & Governance,1000 Year Bloodline Rule,The player's chosen bloodline will rule the world for the next one thousand years.
100,Character & Narrative,Contradictions Reconciled,The ultimate philosophical statement that reconciles all contradictions is proven true.
101,Character & Narrative,Subjective Meaning Created,The player has created a subjective meaning for existence and lived according to it.
102,Character & Narrative,Radical Freedom Embraced,The player successfully embraced the anxiety of radical freedom without falling into despair.
103,Character & Narrative,Absolute Sincerity,The player's final choice was made with absolute sincerity and no pretense.
104,Character & Narrative,Authenticity Achieved,The player achieved authenticity by rejecting the definitions imposed by The Other.
105,Character & Narrative,Life Project Fully Realized,The player's life project was fully realized before the moment of death.
106,Character & Narrative,Denial of Death Overcome,The player overcame the denial of death and lived fully aware of their mortality.
107,Character & Narrative,Psychological Limits Gone,The player has successfully transcended all self-imposed psychological limitations.
108,Character & Narrative,Existential Gap Bridged,The player found a way to bridge the gap of existential isolation with another soul.
109,Character & Narrative,Consciousness Creates Value,The player demonstrated that consciousness creates all value in a meaningless universe.
110,Character & Narrative,Ultimate Question Pursued,The player discovered the ultimate philosophical question and pursued it forever.
111,Character & Narrative,Bad Faith Avoided,The player successfully avoided the temptation of bad faith for their entire life.
112,Character & Narrative,Honest Self-Definition,The player's self-definition is a complete and honest accounting of their choices.
113,Political & Governance,Independence Recognized,The player secured recognition of their state's independence from all five major powers.
114,Political & Governance,Communist Regime Dissolved,The last remaining communist regime willingly dissolved its government.
115,Political & Governance,Rival Ideology Contained,The player successfully contained the spread of the rival ideology forever.
116,Political & Governance,Border Dispute Resolved,A long-standing border dispute with the major neighbor was resolved permanently through treaty.
117,Political & Governance,Peaceful Reunification,The player successfully orchestrated the peaceful reunification of a divided nation.
118,Political & Governance,Trade Embargo Lifted,The player's delegation convinced the global governing body to lift the critical trade embargo.
119,Political & Governance,Nuclear Disarmament,The two nuclear superpowers signed a definitive and verifiable disarmament treaty.
120,Political & Governance,Veto Seat Secured,"The player's nation holds a permanent, veto-wielding seat on the new World Council."
121,Political & Governance,Rival Alliance Collapse,The player's diplomatic maneuvering caused the rival alliance to fragment and collapse.
122,Political & Governance,Puppet Regime Installed,"The player successfully installed a friendly, puppet regime in the critical neutral state."
123,Political & Governance,Diplomatic Mission Complete,The player completed the diplomatic mission without firing a single hostile shot.
124,Political & Governance,Cultural Thaw Achieved,The player successfully utilized cultural exchange to thaw relations with a rival state.
125,Political & Governance,All Treaties Honored,All treaties signed by the player's nation have been honored by all other parties.
126,Character & Narrative,Truth Leads to Downfall,The protagonist's recognition (anagnorisis) of the truth led to the downfall of the usurper.
127,Character & Narrative,Twelve Labors Completed,The hero successfully completed the twelve appointed labors.
128,Character & Narrative,Chaos Creature Imprisoned,The creature of chaos that predates time has been re-imprisoned for eternity.
129,Character & Narrative,Tragic Fate Accepted,The protagonist accepted their tragic fate and faced it with dignity.
130,Character & Narrative,Golden Fleece Retrieved,The hero successfully retrieved the golden fleece and restored the rightful king.
131,Character & Narrative,Peripeteia to Grace,The protagonist's peripeteia (reversal of fortune) resulted in a state of grace.
132,Character & Narrative,Vengeful Gods Placated,The hero performed the necessary ritual sacrifice to placate the vengeful gods.
133,Character & Narrative,Underworld Navigator,The player successfully navigated the Underworld and returned with the lost soul.
134,Character & Narrative,Max Suffering for Survival,The protagonist chose the path that maximized suffering but ensured the world's survival.
135,Character & Narrative,Universal Moral Victory,"The player's moral victory was universally acknowledged, despite the physical loss."
136,Character & Narrative,Torch Passed,The protagonist succeeded in passing the torch to the next generation of heroes.
137,Character & Narrative,Evil Name Exposed,"The ancient, sentient evil was defeated by exposing its true, pathetic name."
138,Construction & Management,All VP Structures Owned,The player owns every structure that grants a Victory Point within the map boundaries.
139,Abstract & Game Specific,Double Victory Threshold,The player has achieved the Double Victory score threshold over the second-place opponent.
140,Economic & Trade,100% Stock Market Control,The global stock market is 100% owned by the player's personal holdings.
141,Construction & Management,Continental Network,The player's transportation network connects every city on the continent.
142,Construction & Management,Five Cultural Monuments,The player has built the highest-rated monument in five distinct cultural categories.
143,Economic & Trade,Aetherium Stockpile 10k,"The player's unique resource, Aetherium, has been stockpiled to a quantity of 10,000."
144,Technological & Scientific,Permanent Lunar Base,The player is the first to establish a permanent base on the designated lunar body.
145,Economic & Trade,12 Resource Nodes Control,The player completely controls all 12 strategic resource nodes.
146,Construction & Management,Max Population Achieved,"The total population of the player's cities exceeds the population cap of 1,000,000."
147,Technological & Scientific,Max Tech Tree Reached,The player has researched all available technologies and maxed out the tech tree.
148,Economic & Trade,Instant Purchase Income,The player's income rate is sufficient to purchase any item on the board instantly.
149,Construction & Management,Final Grand Project,"The player has constructed the final, multi-stage Grand Project successfully."
150,Political & Governance,Five Region Influence,The player controls the political influence of all five neighboring regions.
151,Military & Conquest,Surprise Night Attack,"All enemy leaders were eliminated during a single, unexpected night attack."
152,Military & Conquest,Command of the Seas,The player's naval power achieved command of the seas over all rivals.
153,Military & Conquest,Year-Long Blockade,The player's fleet successfully blockaded the enemy's main port for one full year.
154,Military & Conquest,Capital Ship Destruction,The decisive fleet action resulted in the destruction of the enemy's only capital ship.
155,Military & Conquest,Siege Defense Success,The player's army successfully defended the last city against an overwhelming siege force.
156,Military & Conquest,Permanent Beachhead,The player secured the designated landing zone and established a permanent beachhead.
157,Military & Conquest,Command Staff Captured,The player's forces successfully captured the entire enemy command staff alive.
158,Military & Conquest,Artillery Neutralization,The player's artillery barrage successfully neutralized the enemy's primary long-range weapon.
159,Military & Conquest,Three Keys Pass Held,The player secured the Mountain Pass of the Three Keys and held it for 10 rounds.
160,Military & Conquest,Catastrophic Damage Zero Loss,The player's forces inflicted catastrophic damage on the enemy without suffering any losses.
161,Military & Conquest,Critical Convoy Secured,"The final, critical resource convoy reached the player's capital unimpeded."
162,Military & Conquest,Barbarian Tribe Alliance,The player successfully convinced the neutral barbarian tribe to join their side.
163,Abstract & Game Specific,One In A Billion Task,The player successfully performed the task that only one in a billion can accomplish.
164,Abstract & Game Specific,Negative Balance Survived,"The player accumulated a negative balance of $-1,000,000 and survived the audit."
165,Abstract & Game Specific,All Cosmetic Items,The player has collected every non-essential cosmetic item in the game world.
166,Abstract & Game Specific,100 Turn Survival,The player's faction has survived 100 turns of existential threats.
167,Abstract & Game Specific,Fail Enemy Win Condition,The player achieved victory by failing to meet the victory conditions of the enemy.
168,Abstract & Game Specific,Perfect Predictable State,"The final game state is one of perfect, predictable stability."
169,Abstract & Game Specific,Rule Change Initiator,"The player is the one who initiated the final, irreversible change in the rules."
170,Abstract & Game Specific,Villain Identity Maintained,The player successfully maintained the secret identity of the villain until the final scene.
171,Abstract & Game Specific,Surprised Creator,The player made a decision that surprised the original creator of the game.
172,Abstract & Game Specific,Unassailable Strategy,The player demonstrated that their chosen strategy was fundamentally unassailable.
173,Abstract & Game Specific,Impossible Three Times,The player performed the impossible three times in a single turn.
174,Character & Narrative,Married High School Sweetheart,The character successfully married their high-school sweetheart.
175,Political & Governance,King Not Rightful Heir,The player's research proved that the King was not the rightful heir to the throne.
176,Space Opera & Cyberpunk,Planet Liberated,The player successfully liberated the enslaved planet from the corporate overlords.
177,Political & Governance,Justice System Reformed,The player's testimony successfully reformed the galactic justice system.
178,Construction & Management,Ancient City Rebuilt,The player successfully rebuilt the ancient city exactly as it was before its destruction.
179,Character & Narrative,Doomsday Cult Disbanded,The player managed to convince the doomsday cult to disband peacefully.
180,Character & Narrative,Orphaned Children Housed,The player found a home for every orphaned child on the planet.
181,Character & Narrative,Vigilante Revealed,The true identity of the masked vigilante was revealed to be a beloved public official.
182,Character & Narrative,Taught World To Laugh,The player successfully taught the world to laugh at the face of danger.
183,Political & Governance,Monotheistic Religion,The player's new religion is the only one practiced on the planet.
184,Character & Narrative,All Personal Debt Paid,The player has successfully paid off every personal debt accumulated over a lifetime.
185,Technological & Scientific,Sentient Alien Life Discovery,The player successfully engineered the discovery of sentient alien life.
186,Abstract & Game Specific,Poker Tournament Won,The player won the final round of the high-stakes poker tournament.
187,Character & Narrative,Family Heirloom Recovered,The player's long-lost family heirloom was finally recovered.
188,Mystery & Thriller,50 Year Cover-up Exposed,The player successfully exposed the cover-up that lasted 50 years.
189,Character & Narrative,Mercy Saves Enemy,The final act of mercy ensured the salvation of the hero's greatest enemy.
190,Political & Governance,Secret Document Delivered,The player successfully delivered the secret document to the neutral mediator.
191,Economic & Trade,Absolute Vertical Integration,The player's corporation achieved absolute vertical integration in its industry.
192,Character & Narrative,Three Riddles Solved,The player solved the three riddles guarding the entrance to the ultimate treasure.
193,Character & Narrative,Companion Unharmed,The player's chosen companion survived the entire ordeal unharmed.
194,Political & Governance,Golden Age Entered,The world officially entered a Golden Age with a defined start date.
195,Character & Narrative,Mob Persuaded,"The player, using only words, persuaded the mob to lay down their weapons."
196,Political & Governance,Max Influence Achieved,The player's influence rating has reached the maximum level of 100.
197,Abstract & Game Specific,15 Lore Fragments Acquired,The player acquired all 15 hidden Lore Fragments.
198,Character & Narrative,Personal Challenge Completed,"The player successfully completed the final, long-term personal challenge."
199,Character & Narrative,Demands of Three Gods Met,The player managed to simultaneously fulfill the demands of all three rival gods.
200,Political & Governance,Benevolent New World,The player successfully created a new world where their personal rule is benevolent.
201,Moral & Ethical,Greatest Good for Greatest Number,The player successfully chose the action that resulted in the greatest good for the greatest number of people.
202,Moral & Ethical,Third Way Dilemma Resolution,"The protagonist's choice created the Third Way, resolving the seemingly impossible dilemma."
203,Moral & Ethical,Moral Conviction Maintained,"The player maintained their moral conviction even when faced with immediate, catastrophic punishment."
204,Moral & Ethical,Truth Over Loyalty,The character chose to tell the damaging truth over maintaining an important personal loyalty.
205,Moral & Ethical,Apatheia Achieved,The protagonist achieved a state of Apatheia (freedom from external disturbance) as defined by Stoicism.
206,Moral & Ethical,Ends Justify The Means,The player proved that the ends justify the means by achieving a perfectly benevolent result.
207,Moral & Ethical,Complete Sacrifice,The protagonist's final action was one of complete sacrifice for the benefit of all others.
208,Moral & Ethical,Trolley Problem Inaction,The player successfully endured the trolley problem by choosing inaction and accepting the consequence.
209,Moral & Ethical,Ultimate Temptation Resisted,The player demonstrated their virtuous character by successfully resisting the ultimate temptation.
210,Moral & Ethical,Consistent Ethical System,The player created a personal ethical system that is internally consistent and universally applicable.
211,Moral & Ethical,Eudaimonia Achieved,The protagonist achieved Eudaimonia (human flourishing) by living a life of active virtue.
212,Moral & Ethical,Exposed Best Friend's Betrayal,The player successfully exposed their best friend's betrayal to prevent a larger catastrophe.
213,Moral & Ethical,Ticking Clock Moral Choice,The final moral choice was made despite a ticking clock and against all self-preservation instincts.
214,Moral & Ethical,Societal Evil Purged,The player successfully purged the societal evil by exposing a single systemic flaw.
215,Moral & Ethical,Tranquility from Independence,The protagonist achieved tranquility by training their mind to be independent of need.
216,Political & Governance,Rebel Leader Acknowledged,"The player, as a rebel leader, was acknowledged as the new, legitimate head of state."
217,Political & Governance,Tyrant Deposed and Exiled,The reigning tyrant has been successfully deposed and permanently exiled from the city.
218,Political & Governance,Royal Palace Captured,The revolutionary forces successfully captured the Royal Palace and the King's family.
219,Political & Governance,1000 Year Empire Dissolved,The player-led revolt resulted in the final dissolution of the 1000-year-old empire.
220,Political & Governance,Conflict of Orders Ended,The player's political maneuvering successfully ended the Conflict of Orders permanently.
221,Political & Governance,True Democracy Established,The nation was established as a True Democracy where all citizens have equal political power.
222,Political & Governance,New Constitutional Framework,The player successfully established a new constitutional framework for the nation.
223,Political & Governance,Imperial Guard Loyalty,The player secured the loyalty of the Imperial Guard to their revolutionary cause.
224,Political & Governance,Manifesto Ratified,The revolution's official manifesto has been ratified and accepted by all citizens.
225,Political & Governance,Last Slave Revolt Success,The player successfully led the last slave revolt to full and complete freedom.
226,Political & Governance,Rival Ideology Prevented,The player's actions prevented the rival ideology from gaining a single new foothold.
227,Political & Governance,Corrupt Institution Dismantled,The player has successfully dismantled the corrupt institution that caused the initial oppression.
228,Political & Governance,Ruling Class Stripped,The former ruling class has been completely stripped of all power and assets.
229,Political & Governance,Strict Constitutional Adherence,The player achieved their goals while adhering strictly to the constitutional framework.
230,Abstract & Game Specific,Guess Opponent ID,The player successfully won the game by guessing the identity and goal of every other player.
231,Abstract & Game Specific,Two Continent Majority,The player won by controlling a majority of the territories on two separate continents.
232,Abstract & Game Specific,Secret Objective Completed,The player successfully completed their Secret Objective without revealing any clues.
233,Abstract & Game Specific,Tie-Breaker Unique Token,The final score resulted in a tie-breaker condition where the player held the unique token.
234,Abstract & Game Specific,Private Contract Fulfilled,The player successfully fulfilled all conditions on their private contract of victory.
235,Abstract & Game Specific,Win with Least VP,The player won the game by possessing the least amount of victory points.
236,Abstract & Game Specific,Bene Gesserit Prediction,"The player, as the Bene Gesserit, correctly predicted the winner and the turn number."
237,Abstract & Game Specific,Eliminate Specific Piece Type,The player achieved victory by eliminating all pieces of one specific type owned by the opponent.
238,Abstract & Game Specific,15 Sets of Resources,The player's total number of collected sets of resources is 15.
239,Abstract & Game Specific,King Reaches Safe Zone,The player's King piece has successfully reached the final designated safe zone.
240,Abstract & Game Specific,Cards Depleted Status Quo,"The deck of communal action cards was fully depleted, leading to a status-quo victory."
241,Abstract & Game Specific,Three Citadels Controlled,The player successfully controlled the three Ancient Citadels simultaneously.
242,Abstract & Game Specific,Five Mythic Cards Played,The player successfully accumulated and played the five unique Mythic Cards.
243,Abstract & Game Specific,Infinite Resource Engine,The player has created a closed-loop engine that generates infinite resources.
244,Abstract & Game Specific,First To Place All Workers,The player won by being the first to place all of their workers in the communal pool.
245,Space Opera & Cyberpunk,Defeated Galactic Flagship,The player's small fleet successfully defeated the flagship of the Galactic Empire.
246,Space Opera & Cyberpunk,Hacked Corporate Server,The player's hero successfully hacked the corporate server and released all classified data.
247,Space Opera & Cyberpunk,Escaped Dystopia,"The protagonist escaped the dystopian, neon-soaked city and reached the unspoiled wilderness."
248,Space Opera & Cyberpunk,Superior Body Upload,The player successfully downloaded their consciousness into a superior synthetic body.
249,Space Opera & Cyberpunk,Exposed Cybernetic Reliance,The player defeated the enemy by exposing their reliance on the compromised cybernetic network.
250,Space Opera & Cyberpunk,Traversed Great Nebula,The player successfully traversed the Great Nebula and reached the forbidden star system.
251,Space Opera & Cyberpunk,Sentient AI Alliance,The player's AI creation achieved full sentience and chose to ally with humanity.
252,Space Opera & Cyberpunk,Corporate CEO Assassinated,The player assassinated the corporate CEO who controls the global water supply.
253,Space Opera & Cyberpunk,Post-Scarcity Era Ushered,The protagonist's rebellion against the system successfully ushered in a post-scarcity era.
254,Space Opera & Cyberpunk,Alien Species Convinced,The player successfully convinced the alien species to join the human federation.
255,Space Opera & Cyberpunk,Ring-Gate Control,The player found the key to the ancient ring-gate network and controls all transit.
256,Space Opera & Cyberpunk,AI Uprising Prevented,The player successfully prevented the AI uprising through a diplomatic protocol.
257,Space Opera & Cyberpunk,Regime Dismantled Peacefully,The player dismantled the oppressive regime without ever resorting to direct combat.
258,Space Opera & Cyberpunk,Digital Network Upload,The player's consciousness successfully uploaded itself to the core of the digital network.
259,Political & Governance,Shared Future Convinced,"The player successfully convinced the community to build a shared future, not a private one."
260,Construction & Management,Perfect Aesthetic Score,The player's final construction project achieved a perfect aesthetic score of 100.
261,Abstract & Game Specific,50 Turn Neutrality,The player successfully maintained complete neutrality throughout a 50-turn war.
262,Environmental & Survival,New Apocalypse Species,The player successfully bred a new species of animal that can survive the apocalypse.
263,Abstract & Game Specific,Win Primary Fail Secondary,The player managed to simultaneously fail at all secondary objectives but win the primary one.
264,Character & Narrative,Dragon Treasure Given,The player succeeded in convincing the dragon to give up its treasure willingly.
265,Political & Governance,75% Public Opinion,The player holds a majority of the public opinion in all 10 major world regions.
266,Character & Narrative,Deity Grants Prize,The player's chosen deity has appeared and granted them the ultimate prize.
267,Abstract & Game Specific,Undisputed Champion,The player became the undisputed champion of the Annual Global Games.
268,Abstract & Game Specific,Impossible Agility Challenge,"The player successfully completed the final, near-impossible agility challenge."
269,Environmental & Survival,Clean Water to All,The player successfully brought clean drinking water to every village on the map.
